palabra,categoria,total_1960,total_1970,total_1980,total_1990,total_2000,total_2010,total_2020
middleclass,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,1.0
platformties,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stainedglass,NOUN,1.0,0.0,1.0,0.0,2.0,0.0,0.0
sash,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
outsiders,NOUN,1.0,0.0,0.0,5.0,6.0,5.0,2.0
graveyards,NOUN,1.0,2.0,0.0,0.0,0.0,1.0,0.0
itoff,NOUN,1.0,0.0,0.0,0.0,1.0,0.0,0.0
shrouds,NOUN,1.0,0.0,2.0,0.0,0.0,0.0,0.0
perche,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mummer,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
richness,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pliers,NOUN,1.0,0.0,0.0,4.0,9.0,0.0,0.0
longtime,NOUN,1.0,1.0,1.0,10.0,0.0,0.0,0.0
bleep,NOUN,1.0,0.0,0.0,0.0,8.0,0.0,0.0
artic,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
concerns,NOUN,1.0,0.0,0.0,1.0,1.0,1.0,0.0
lasceròmai,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
tak,NOUN,1.0,2.0,3.0,0.0,6.0,0.0,0.0
gouldman,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
iche,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
castoffs,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
satti,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
chester,NOUN,1.0,0.0,0.0,2.0,18.0,2.0,0.0
ferryboat,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
loveline,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
midget,NOUN,1.0,1.0,0.0,0.0,12.0,2.0,1.0
dontt,NOUN,1.0,1.0,1.0,0.0,0.0,0.0,0.0
manny,NOUN,1.0,0.0,0.0,0.0,0.0,3.0,1.0
jake,NOUN,1.0,0.0,0.0,1.0,19.0,2.0,1.0
calomine,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hadenough,ADJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
napier,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
recluse,NOUN,1.0,0.0,0.0,1.0,1.0,0.0,0.0
fairlane,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
tyres,NOUN,1.0,2.0,0.0,0.0,2.0,1.0,0.0
sacrilege,NOUN,1.0,1.0,0.0,0.0,0.0,0.0,0.0
corps,NOUN,1.0,0.0,4.0,2.0,0.0,2.0,0.0
angeline,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
beafsteak,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
thinkdeath,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
dogearedletters,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
translation,NOUN,1.0,2.0,9.0,0.0,7.0,1.0,4.0
didactics,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
amarti,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
steet,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
finirò,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
showme,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
myhead,ADJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pitiless,NOUN,1.0,1.0,0.0,0.0,0.0,0.0,0.0
anche,NOUN,1.0,0.0,0.0,1.0,0.0,0.0,1.0
epiphany,NOUN,1.0,0.0,0.0,0.0,3.0,2.0,2.0
guillotine,NOUN,1.0,0.0,0.0,10.0,6.0,4.0,1.0
cooks,NOUN,1.0,1.0,3.0,0.0,6.0,0.0,0.0
recent,ADJ,1.0,0.0,2.0,0.0,4.0,7.0,1.0
garment,NOUN,1.0,1.0,0.0,0.0,0.0,0.0,0.0
wasoff,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
reverbel,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
chamam,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
youthful,ADJ,1.0,1.0,0.0,0.0,1.0,0.0,0.0
deliverer,NOUN,1.0,0.0,3.0,0.0,0.0,0.0,0.0
blueest,ADJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,NOUN,1.0,0.0,9.0,9.0,17.0,4.0,1.0
butunlike,ADJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bronson,NOUN,1.0,0.0,0.0,0.0,2.0,0.0,0.0
halfways,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
irrelativity,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
glimpses,NOUN,1.0,0.0,0.0,0.0,1.0,0.0,0.0
tightits,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
townwhere,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
taming,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,3.0
medium,ADJ,1.0,1.0,0.0,13.0,4.0,5.0,1.0
afffair,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
awhiff,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lifelines,NOUN,1.0,0.0,0.0,0.0,2.0,0.0,0.0
sameyou,NOUN,1.0,1.0,1.0,0.0,0.0,0.0,0.0
aquaintance,NOUN,1.0,1.0,0.0,0.0,0.0,0.0,0.0
tahachapi,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
blooms,NOUN,1.0,1.0,0.0,1.0,0.0,0.0,1.0
orsmall,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
knowtoo,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
staple,NOUN,1.0,0.0,2.0,0.0,3.0,2.0,2.0
seagoin,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
andmoon,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
eclipses,NOUN,1.0,0.0,1.0,1.0,1.0,0.0,0.0
railings,NOUN,1.0,0.0,1.0,0.0,0.0,0.0,1.0
silverspoon,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,1.0
eyesof,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
shouldbe,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
waterfalls,NOUN,1.0,0.0,1.0,1.0,10.0,0.0,2.0
placeor,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
yourselfat,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
marshas,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
swift,ADJ,1.0,4.0,5.0,3.0,45.0,5.0,4.0
flippy,ADJ,1.0,0.0,1.0,0.0,0.0,0.0,0.0
backroads,NOUN,1.0,0.0,1.0,0.0,2.0,0.0,2.0
righ,ADJ,1.0,0.0,0.0,2.0,0.0,0.0,0.0
toyguns,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fortheir,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
vaguest,ADJ,1.0,0.0,0.0,0.0,1.0,0.0,0.0
guitarand,NOUN,1.0,1.0,0.0,0.0,0.0,0.0,0.0
stirhey,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
agin,ADJ,1.0,0.0,0.0,14.0,0.0,1.0,1.0
blackyou,NOUN,1.0,1.0,0.0,0.0,0.0,0.0,0.0
brightens,NOUN,1.0,1.0,0.0,0.0,1.0,0.0,0.0
specks,NOUN,1.0,7.0,0.0,0.0,0.0,0.0,0.0
sweets,NOUN,1.0,0.0,1.0,2.0,3.0,1.0,4.0
skullshrill,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
misunderstand,NOUN,1.0,3.0,5.0,1.0,1.0,0.0,2.0
blush,NOUN,1.0,1.0,15.0,3.0,8.0,5.0,13.0
senators,NOUN,1.0,4.0,0.0,0.0,1.0,0.0,0.0
sacrificials,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
congressmen,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
everythingand,NOUN,1.0,0.0,2.0,0.0,0.0,0.0,0.0
dayand,NOUN,1.0,0.0,0.0,2.0,1.0,0.0,0.0
clarinet,NOUN,1.0,0.0,1.0,0.0,1.0,0.0,2.0
doand,NOUN,1.0,0.0,0.0,2.0,4.0,1.0,0.0
ganha,NOUN,1.0,0.0,0.0,0.0,1.0,0.0,0.0
isano,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
snacks,NOUN,1.0,0.0,0.0,1.0,2.0,0.0,2.0
airholes,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
jamjars,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
minimum,NOUN,1.0,3.0,4.0,1.0,14.0,3.0,2.0
coisa,NOUN,1.0,0.0,1.0,2.0,5.0,2.0,0.0
neanderthal,NOUN,1.0,0.0,2.0,0.0,1.0,0.0,0.0
upholstery,NOUN,1.0,0.0,0.0,0.0,1.0,0.0,0.0
companywho,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
familiarity,NOUN,1.0,0.0,0.0,1.0,1.0,1.0,3.0
snob,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
utter,ADJ,1.0,0.0,9.0,2.0,5.0,2.0,1.0
futures,NOUN,1.0,1.0,3.0,14.0,0.0,1.0,0.0
chartsthe,ADJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
wainman,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
goldblatt,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
knobs,NOUN,1.0,0.0,0.0,0.0,1.0,0.0,0.0
careers,NOUN,1.0,3.0,0.0,2.0,9.0,7.0,1.0
toffs,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
oday,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
commandments,NOUN,1.0,0.0,1.0,2.0,1.0,4.0,3.0
council,NOUN,1.0,1.0,0.0,0.0,0.0,2.0,0.0
navvies,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
buckets,NOUN,1.0,1.0,0.0,0.0,4.0,6.0,0.0
fanatic,ADJ,1.0,0.0,4.0,3.0,2.0,1.0,0.0
imagery,NOUN,1.0,0.0,0.0,1.0,1.0,0.0,1.0
dothings,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cuddles,NOUN,1.0,0.0,0.0,1.0,3.0,3.0,1.0
minimal,ADJ,1.0,0.0,0.0,0.0,5.0,1.0,3.0
torments,NOUN,1.0,0.0,0.0,0.0,1.0,1.0,0.0
cupboard,NOUN,1.0,1.0,1.0,5.0,1.0,0.0,0.0
hubbard,NOUN,1.0,0.0,2.0,4.0,0.0,0.0,0.0
offspin,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
googlies,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
wicket,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
vouchers,NOUN,1.0,0.0,0.0,0.0,1.0,1.0,0.0
coronaries,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mechanic,NOUN,1.0,0.0,0.0,2.0,3.0,1.0,0.0
liable,ADJ,1.0,1.0,1.0,0.0,10.0,1.0,0.0
umbilical,ADJ,1.0,0.0,0.0,1.0,3.0,0.0,1.0
optimists,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
timbers,NOUN,1.0,1.0,0.0,0.0,0.0,0.0,0.0
doubters,NOUN,1.0,0.0,0.0,0.0,6.0,2.0,0.0
calories,NOUN,1.0,0.0,0.0,0.0,2.0,1.0,1.0
slaw,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
highgrade,NOUN,1.0,0.0,0.0,0.0,1.0,0.0,0.0
boomers,NOUN,1.0,0.0,0.0,0.0,1.0,0.0,0.0
lugosi,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
misconception,NOUN,1.0,0.0,2.0,0.0,0.0,0.0,1.0
discount,NOUN,1.0,0.0,1.0,0.0,2.0,3.0,1.0
complicates,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
whinin,NOUN,1.0,1.0,0.0,0.0,5.0,0.0,0.0
renegades,NOUN,1.0,0.0,3.0,2.0,4.0,0.0,1.0
greta,NOUN,1.0,1.0,11.0,1.0,2.0,0.0,1.0
choicesshow,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mitzibushi,ADJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
visits,NOUN,1.0,0.0,3.0,1.0,5.0,2.0,0.0
descreet,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
commercials,NOUN,1.0,0.0,0.0,1.0,3.0,1.0,0.0
thirtynine,NOUN,1.0,0.0,1.0,0.0,0.0,0.0,0.0
paperwork,NOUN,1.0,0.0,0.0,2.0,3.0,7.0,0.0
biker,NOUN,1.0,0.0,1.0,2.0,0.0,0.0,3.0
trusts,NOUN,1.0,3.0,2.0,0.0,5.0,2.0,4.0
scores,NOUN,1.0,1.0,5.0,1.0,2.0,3.0,3.0
reserves,NOUN,1.0,0.0,0.0,0.0,2.0,0.0,0.0
addition,NOUN,1.0,3.0,2.0,1.0,6.0,3.0,0.0
automation,NOUN,1.0,0.0,1.0,1.0,0.0,0.0,0.0
stuckup,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
data,NOUN,1.0,1.0,14.0,2.0,10.0,3.0,1.0
selection,NOUN,1.0,2.0,0.0,6.0,9.0,5.0,0.0
pleads,NOUN,1.0,0.0,2.0,0.0,2.0,0.0,0.0
bleeds,NOUN,1.0,3.0,9.0,16.0,4.0,6.0,3.0
views,NOUN,1.0,0.0,7.0,2.0,21.0,18.0,7.0
solicitors,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
trivia,NOUN,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ineffectual,ADJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
boozers,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cultures,NOUN,1.0,0.0,0.0,5.0,3.0,0.0,0.0
cliches,NOUN,1.0,0.0,1.0,0.0,5.0,5.0,1.0
willshatter,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
executives,NOUN,1.0,0.0,0.0,0.0,1.0,1.0,1.0
unrest,NOUN,1.0,0.0,0.0,0.0,2.0,1.0,0.0
unimaginable,ADJ,1.0,0.0,0.0,1.0,1.0,1.0,0.0
revolutionaries,NOUN,1.0,0.0,0.0,1.0,1.0,1.0,1.0
sweety,NOUN,1.0,0.0,0.0,0.0,1.0,0.0,0.0
passe,NOUN,1.0,0.0,1.0,0.0,1.0,1.0,1.0
ethers,NOUN,1.0,0.0,0.0,1.0,0.0,0.0,0.0
tyke,NOUN,1.0,0.0,0.0,0.0,2.0,1.0,0.0
approval,NOUN,1.0,0.0,2.0,2.0,4.0,9.0,2.0
beurocratic,ADJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
site,NOUN,1.0,3.0,18.0,5.0,8.0,2.0,0.0
supply,NOUN,1.0,12.0,7.0,3.0,11.0,8.0,12.0
blizzards,NOUN,1.0,0.0,0.0,0.0,2.0,0.0,0.0
rhetoric,NOUN,1.0,0.0,1.0,0.0,0.0,0.0,0.0
savile,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
supergrade,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
email,NOUN,1.0,0.0,1.0,1.0,8.0,9.0,0.0
dicky,ADJ,1.0,0.0,1.0,2.0,0.0,0.0,0.0
stringless,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
retail,NOUN,1.0,0.0,1.0,0.0,5.0,1.0,2.0
dramer,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
circustent,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lump,NOUN,1.0,3.0,2.0,5.0,18.0,9.0,7.0
pizazz,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
glamorous,ADJ,1.0,1.0,12.0,2.0,3.0,16.0,9.0
hiho,NOUN,1.0,16.0,1.0,0.0,0.0,0.0,0.0
raggety,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ohooo,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
plains,NOUN,1.0,5.0,2.0,7.0,5.0,2.0,1.0
workshop,NOUN,1.0,0.0,0.0,0.0,1.0,0.0,0.0
nausea,NOUN,1.0,0.0,0.0,1.0,0.0,0.0,0.0
fonder,NOUN,1.0,0.0,0.0,0.0,0.0,5.0,0.0
contradiction,NOUN,1.0,2.0,8.0,11.0,3.0,4.0,1.0
balin,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
designs,NOUN,1.0,2.0,0.0,2.0,1.0,0.0,0.0
imparts,NOUN,1.0,0.0,4.0,0.0,0.0,0.0,0.0
blessings,NOUN,1.0,1.0,8.0,18.0,21.0,18.0,16.0
noodles,NOUN,1.0,1.0,0.0,1.0,7.0,7.0,0.0
schnitzel,NOUN,1.0,1.0,0.0,1.0,1.0,0.0,0.0
increases,NOUN,1.0,1.0,2.0,0.0,9.0,4.0,0.0
withstood,NOUN,1.0,0.0,0.0,4.0,1.0,0.0,0.0
enters,NOUN,1.0,0.0,3.0,1.0,3.0,1.0,1.0
carroll,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
taylor,NOUN,1.0,0.0,3.0,0.0,12.0,9.0,19.0
dozier,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
strenght,ADJ,1.0,0.0,3.0,0.0,3.0,0.0,0.0
promisses,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
thompson,NOUN,1.0,0.0,1.0,0.0,2.0,0.0,1.0
abide,NOUN,1.0,2.0,2.0,12.0,2.0,1.0,1.0
smear,NOUN,1.0,0.0,1.0,2.0,2.0,2.0,0.0
incidentals,NOUN,1.0,0.0,0.0,0.0,1.0,0.0,1.0
assortment,NOUN,1.0,0.0,0.0,0.0,1.0,0.0,0.0
mileage,NOUN,1.0,0.0,1.0,0.0,4.0,5.0,5.0
wharf,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
masculine,NOUN,1.0,0.0,1.0,1.0,7.0,2.0,2.0
manor,NOUN,1.0,1.0,0.0,0.0,1.0,3.0,0.0
churchbells,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bummer,NOUN,1.0,2.0,2.0,3.0,0.0,0.0,21.0
excellent,ADJ,1.0,0.0,3.0,0.0,9.0,3.0,3.0
excessive,ADJ,1.0,0.0,0.0,0.0,3.0,3.0,2.0
cartoons,NOUN,1.0,0.0,2.0,1.0,2.0,6.0,0.0
roes,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mints,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scarce,ADJ,1.0,1.0,0.0,0.0,2.0,0.0,0.0
aggravations,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
tempers,NOUN,1.0,0.0,1.0,0.0,3.0,0.0,0.0
uneventful,ADJ,1.0,1.0,0.0,0.0,0.0,1.0,0.0
beaut,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
motherland,NOUN,1.0,3.0,1.0,0.0,33.0,10.0,1.0
westenders,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
orientalenders,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
spock,NOUN,1.0,0.0,1.0,8.0,0.0,1.0,0.0
clench,NOUN,1.0,0.0,3.0,0.0,5.0,0.0,0.0
abecket,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
prisoners,NOUN,1.0,10.0,6.0,9.0,4.0,5.0,3.0
diem,NOUN,1.0,0.0,5.0,4.0,2.0,5.0,1.0
streetbut,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
aida,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lentils,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
dazzler,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
eastenders,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
dwarf,NOUN,1.0,2.0,0.0,0.0,0.0,0.0,0.0
desolation,NOUN,1.0,0.0,4.0,15.0,3.0,6.0,1.0
vesselin,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
merrymen,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
arteries,NOUN,1.0,0.0,0.0,3.0,1.0,0.0,2.0
mediocre,NOUN,1.0,1.0,1.0,0.0,3.0,4.0,5.0
reviews,NOUN,1.0,2.0,4.0,0.0,4.0,2.0,0.0
rooney,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sanders,NOUN,1.0,0.0,1.0,4.0,2.0,1.0,0.0
quaaludes,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
farmers,NOUN,1.0,0.0,0.0,0.0,2.0,1.0,0.0
punctuality,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
appetit,NOUN,1.0,0.0,0.0,0.0,2.0,0.0,3.0
fivethirty,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
analysis,NOUN,1.0,0.0,2.0,0.0,0.0,0.0,0.0
meetings,NOUN,1.0,2.0,0.0,1.0,9.0,3.0,3.0
imaginary,NOUN,1.0,1.0,10.0,4.0,8.0,5.0,2.0
babyâ,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
believeit,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pater,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
halfpast,NOUN,1.0,1.0,1.0,0.0,0.0,18.0,0.0
overcoats,NOUN,1.0,1.0,0.0,0.0,0.0,0.0,0.0
kgband,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
generations,NOUN,1.0,0.0,4.0,2.0,8.0,3.0,0.0
lightens,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
catholics,NOUN,1.0,0.0,1.0,0.0,3.0,0.0,0.0
wasteanother,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
doctrine,NOUN,1.0,0.0,0.0,0.0,2.0,0.0,0.0
jawohl,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
matrimonial,NOUN,1.0,2.0,0.0,0.0,0.0,0.0,0.0
vicious,ADJ,1.0,8.0,14.0,3.0,28.0,14.0,9.0
cower,NOUN,1.0,0.0,2.0,6.0,2.0,0.0,2.0
joukyou,ADJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
victry,NOUN,1.0,7.0,0.0,0.0,1.0,0.0,0.0
perrier,NOUN,1.0,0.0,2.0,0.0,1.0,0.0,1.0
beaverbrook,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
montgomery,NOUN,1.0,2.0,0.0,0.0,2.0,0.0,1.0
caffs,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
purest,ADJ,1.0,2.0,2.0,13.0,4.0,4.0,1.0
befriend,NOUN,1.0,0.0,1.0,1.0,1.0,1.0,0.0
magnifique,NOUN,1.0,0.0,0.0,0.0,1.0,0.0,0.0
wilkommen,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
gaelic,ADJ,1.0,0.0,0.0,0.0,0.0,1.0,0.0
englese,ADJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
parlez,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fraulfin,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
civility,NOUN,1.0,0.0,0.0,0.0,0.0,1.0,1.0
frailest,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
antics,NOUN,1.0,0.0,0.0,0.0,1.0,0.0,0.0
boutiques,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,2.0
fleas,NOUN,1.0,0.0,4.0,3.0,2.0,1.0,2.0
gyou,NOUN,1.0,0.0,0.0,0.0,4.0,0.0,1.0
platitudes,NOUN,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ostentation,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ponders,NOUN,1.0,0.0,0.0,2.0,2.0,1.0,0.0
rackets,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
disillusion,NOUN,1.0,8.0,0.0,4.0,0.0,1.0,0.0
fads,NOUN,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ruination,NOUN,1.0,0.0,0.0,0.0,0.0,1.0,0.0
mada,NOUN,1.0,0.0,0.0,0.0,5.0,1.0,3.0
polkadots,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
flattery,NOUN,1.0,0.0,0.0,0.0,0.0,2.0,0.0
debase,NOUN,1.0,0.0,1.0,1.0,0.0,0.0,0.0
zillions,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
regatta,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
barnet,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
shoudou,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nephews,NOUN,1.0,0.0,0.0,0.0,2.0,2.0,0.0
picnic,NOUN,1.0,1.0,1.0,1.0,4.0,1.0,1.0
gooseberry,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sandwiches,NOUN,1.0,0.0,1.0,8.0,1.0,3.0,0.0
nage,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
tens,NOUN,1.0,0.0,0.0,0.0,6.0,5.0,2.0
fixation,NOUN,1.0,1.0,0.0,0.0,2.0,0.0,0.0
obsessive,NOUN,1.0,0.0,2.0,0.0,1.0,1.0,5.0
suave,NOUN,1.0,1.0,1.0,0.0,2.0,2.0,5.0
shrinker,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
potters,NOUN,1.0,0.0,2.0,0.0,0.0,0.0,0.0
councilors,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
decade,NOUN,1.0,1.0,0.0,3.0,5.0,5.0,4.0
starves,NOUN,1.0,0.0,0.0,0.0,2.0,0.0,0.0
lmaginations,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
exlovers,NOUN,1.0,0.0,0.0,0.0,0.0,5.0,12.0
debtors,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stringin,NOUN,1.0,0.0,3.0,0.0,0.0,0.0,0.0
pernod,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
separative,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
argyles,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rheumatism,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
chillblains,NOUN,1.0,0.0,1.0,0.0,0.0,0.0,0.0
phonies,NOUN,1.0,2.0,0.0,0.0,3.0,0.0,2.0
posers,NOUN,1.0,0.0,1.0,1.0,2.0,2.0,1.0
technologyrules,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
entries,NOUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cheque,NOUN,1.0,2.0,2.0,1.0,8.0,4.0,9.0
rots,NOUN,1.0,0.0,2.0,0.0,0.0,0.0,0.0
